"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > WIMD 2011 > Welsh Index of Multiple Deprivation 2011 by rank and local super output area"
""
"","","WIMD (1)","Income (2)","Employment (3)","Health (4)","Education (5)","Access to Services (6)","Community Safety (7)","Physical Environment (8)","Housing (9)"
"Isle of Anglesey ","",".",".",".",".",".",".",".",".","."
"","W01001003: Coychurch Lower ",1386,1526,1111,1100,1704,447,1781,326,1879
"","W01001004: Felindre 1 ",450,515,400,402,338,1835,296,505,481
"","W01001005: Felindre 2 ",1289,1483,1221,500,1371,1137,1551,219,1671
"","W01001006: Hendre (Bridgend) 1 ",1732,1621,1560,1722,1291,571,1730,1500,1806
"","W01001007: Hendre (Bridgend) 2 ",588,491,655,746,395,1290,435,706,479
"","W01001008: Litchard ",1707,1756,1327,1733,1656,555,1356,1030,1749
"","W01001009: Llangeinor ",562,739,456,415,415,539,759,1279,1502
"","W01001010: Llangewydd and Brynhyfryd 1 ",844,741,782,985,717,419,949,1261,1572
"","W01001011: Llangewydd and Brynhyfryd 2 ",1320,1109,1022,1498,1164,613,1133,1328,1419
"","W01001012: Llangynwyd 1 ",1467,1399,1221,1476,1399,374,1552,940,1683
"","W01001013: Llangynwyd 2 ",675,755,456,537,716,617,1243,1445,1113
"","W01001014: Maesteg East 1 ",319,350,223,194,454,1757,279,886,783
"","W01001015: Maesteg East 2 ",245,420,183,98,296,475,656,1737,1328
"","W01001016: Maesteg East 3 ",900,1085,522,1098,701,645,1172,1449,1109
"","W01001017: Maesteg West 1 ",1363,1272,782,1072,1181,1775,768,1839,1536
"","W01001018: Maesteg West 2 ",463,564,223,299,593,1837,424,1395,850
"","W01001019: Maesteg West 3 ",280,277,223,133,378,811,930,1468,1607
"","W01001020: Maesteg West 4 ",339,399,183,419,300,1039,872,471,1178
"","W01001021: Morfa 1 ",325,463,253,290,578,1436,76,238,412
"","W01001022: Morfa 2 ",140,116,120,556,120,929,93,324,1076
"","W01001023: Morfa 3 ",306,390,223,585,260,992,234,258,1074
"","W01001024: Nant-y-moel 1 ",460,556,347,488,159,1112,761,1791,1119
"","W01001025: Nant-y-moel 2 ",706,891,522,306,489,1887,757,1692,1302
"","W01001026: Newcastle 1 ",363,247,253,608,429,1424,445,598,655
"","W01001027: Newcastle 2 ",1469,1280,941,1245,1479,905,1464,1219,1823
"","W01001028: Newcastle 3 ",1364,1307,941,1512,1390,1286,907,354,1162
"","W01001029: Newton (Bridgend) 1 ",1419,1539,1111,1352,1594,244,1785,1055,1677
"","W01001030: Newton (Bridgend) 2 ",1282,1309,1221,766,1529,482,989,741,1648
"","W01001031: Nottage 1 ",1609,1646,1447,1065,1803,292,1847,1818,1822
"","W01001032: Nottage 2 ",1497,1362,1221,1192,1592,473,1413,1411,1626
"","W01001033: Ogmore Vale 1 ",941,925,782,861,676,1179,708,681,1733
"","W01001034: Ogmore Vale 2 ",469,613,253,526,412,1180,675,623,921
"","W01001035: Oldcastle 1 ",288,286,253,179,574,1412,310,998,288
"","W01001036: Oldcastle 2 ",1846,1750,1560,1464,1787,1293,1382,1180,1603
"","W01001037: Oldcastle 3 ",1543,1485,1111,1009,1658,899,1538,1066,1665
"","W01001038: Pendre ",1120,1103,941,1159,880,755,1073,636,1338
"","W01001039: Penprysg 1 ",1232,1092,1022,1060,948,1004,1045,830,1612
"","W01001040: Penprysg 2 ",1210,1264,1022,1048,933,676,1640,589,1266
"","W01001041: Pen-y-fai ",1613,1760,1111,1323,1764,509,1705,1075,1790
"","W01001042: Pontycymmer 1 ",611,684,585,391,333,1533,508,1858,831
"","W01001043: Pontycymmer 2 ",604,745,347,355,519,1451,1147,1700,1111
"","W01001044: Porthcawl East Central 1 ",521,450,400,475,809,621,1124,1814,441
"","W01001045: Porthcawl East Central 2 ",560,493,347,583,965,1232,390,877,703
"","W01001046: Porthcawl West Central 1 ",548,617,153,736,1159,1880,194,1666,947
"","W01001047: Porthcawl West Central 2 ",1402,1102,782,1453,1631,1426,1021,1246,1247
"","W01001048: Pyle 1 ",1570,1530,1221,1213,1306,1557,1052,394,1800
"","W01001049: Pyle 2 ",175,234,120,398,162,1413,356,50,546
"","W01001050: Pyle 3 ",564,490,522,460,663,1691,627,205,869
"","W01001051: Pyle 4 ",702,513,655,694,850,1120,703,451,1376
"","W01001052: Pyle 5 ",485,486,456,501,446,1367,638,239,568
"","W01001053: Rest Bay 1 ",1634,1616,1111,1618,1738,410,1758,1810,1891
"","W01001054: Rest Bay 2 ",1716,1481,1560,1119,1799,665,1798,1630,1872
"","W01001055: Sarn 1 ",172,269,73,166,196,1463,896,483,477
"","W01001056: Sarn 2 ",629,873,400,538,486,1064,1163,425,1351
"","W01001057: Ynysawdre 1 ",251,444,183,72,796,953,729,49,1046
"","W01001058: Ynysawdre 2 ",957,1127,1111,529,1092,637,1390,145,1230
"Vale of Glamorgan ","",".",".",".",".",".",".",".",".","."
"Vale of Glamorgan ","W01001059: Baruc 1 ",1573,1337,1221,1611,1537,631,1064,1633,1453
"","W01001060: Baruc 2 ",1818,1837,1761,1784,1782,355,1679,1804,1809
"","W01001061: Baruc 3 ",687,683,708,793,757,946,152,1410,321
"","W01001062: Baruc 4 ",1264,1013,861,969,1548,1690,526,1267,1023
"","W01001063: Buttrills 1 ",732,608,708,571,882,1860,542,469,566
"","W01001064: Buttrills 2 ",290,287,120,410,448,1542,515,1110,854
"","W01001065: Buttrills 3 ",884,867,941,756,776,1866,439,105,1227
"","W01001066: Buttrills 4 ",785,766,861,360,769,1702,378,892,936
"","W01001067: Cadoc 1 ",186,233,120,567,282,919,358,5,699
"","W01001068: Cadoc 2 ",712,718,941,1371,698,542,939,15,760
"","W01001069: Cadoc 3 ",365,313,253,1035,518,1770,94,81,561
"","W01001070: Cadoc 4 ",114,125,73,448,277,1555,31,66,189
"","W01001071: Cadoc 5 ",526,702,708,389,474,968,865,18,885
"","W01001072: Cadoc 6 ",1510,1480,1560,1581,1462,428,1173,284,1758
"","W01001073: Castleland 1 ",187,186,183,272,265,1337,322,101,335
"","W01001074: Castleland 2 ",348,318,295,612,450,1827,233,102,346
"","W01001075: Cornerswell 1 ",1770,1420,1447,1631,1669,1759,844,1649,1016
"","W01001076: Cornerswell 2 ",923,850,941,656,709,1730,454,1314,559
"","W01001077: Cornerswell 3 ",1237,1131,1111,651,1193,977,1189,1200,1248
"","W01001078: Cornerswell 4 ",1751,1457,1447,1478,1520,1184,1422,1757,1379
"","W01001079: Court 1 ",442,396,585,616,369,1703,236,38,737
"","W01001080: Court 2 ",405,359,585,357,408,1469,232,197,329
"","W01001081: Court 3 ",145,152,183,118,224,1071,239,365,277
"","W01001082: Cowbridge 1 ",1790,1478,1447,1463,1804,1544,1638,836,1690
"","W01001083: Cowbridge 2 ",1835,1892,1845,1828,1873,361,1889,1116,1745
"","W01001084: Cowbridge 3 ",1772,1804,1673,1448,1878,498,1479,1132,1797
"","W01001085: Cowbridge 4 ",1750,1869,1845,1832,1891,157,1809,1422,1832
"","W01001086: Dinas Powys 1 ",1701,1817,1761,1745,1880,448,1539,196,1684
"","W01001087: Dinas Powys 2 ",1771,1722,1673,1820,1784,1819,1167,85,1449
"","W01001088: Dinas Powys 3 ",1034,653,782,1037,1081,1422,887,1209,1534
"","W01001089: Dinas Powys 4 ",1673,1725,1673,1495,1767,680,1452,229,1410
"","W01001090: Dinas Powys 5 ",1597,1733,1560,1147,1739,290,1294,1032,1826
"","W01001091: Dyfan 1 ",1712,1653,1327,1457,1482,765,1481,1691,1676
"","W01001092: Dyfan 2 ",839,714,782,935,590,904,663,1743,758
"","W01001093: Dyfan 3 ",477,423,295,531,695,1285,305,882,908
"","W01001094: Gibbonsdown 1 ",337,188,347,1022,297,523,267,846,1097
"","W01001095: Gibbonsdown 2 ",91,51,120,223,98,993,45,1081,863
"","W01001096: Gibbonsdown 3 ",788,696,585,1291,867,867,474,686,795
"","W01001097: Gibbonsdown 4 ",308,165,347,726,259,971,272,1842,539
"","W01001098: Illtyd 1 ",1769,1618,1560,1413,1689,735,1689,1372,1896
"","W01001099: Illtyd 2 ",861,543,782,1338,644,1308,606,1174,860
"","W01001100: Illtyd 3 ",1855,1854,1761,1819,1672,809,1675,771,1777
"","W01001101: Illtyd 4 ",605,555,585,665,1000,1836,124,420,236
"","W01001102: Illtyd 5 ",823,534,941,812,1069,1889,406,233,752
"","W01001103: Illtyd 6 ",1762,1594,1761,1854,1642,1116,1333,206,1747
"","W01001104: Llandough ",1629,1702,1447,1420,1637,508,1504,721,1343
"","W01001105: Llandow/Ewenny ",1657,1762,1673,1645,1860,222,1601,742,1734
"","W01001106: Llantwit Major 1 ",1829,1754,1673,1679,1659,754,1526,1159,1889
"","W01001107: Llantwit Major 2 ",1720,1435,1327,1553,1373,1366,1024,1531,1873
"","W01001108: Llantwit Major 3 ",1441,1430,1327,1473,1236,321,1138,1389,1426
"","W01001109: Llantwit Major 4 ",1477,1319,1221,894,1019,1183,1743,1317,1619
"","W01001110: Llantwit Major 5 ",1802,1798,1873,1869,1722,366,1470,1457,1532
"","W01001111: Llantwit Major 6 ",709,475,708,843,546,1077,1009,1503,753
"","W01001112: Llantwit Major 7 ",1841,1657,1673,1894,1664,641,1633,1819,1701
"","W01001113: Peterston-super-Ely ",1654,1827,1673,1367,1829,189,1773,1440,1564
"","W01001114: Plymouth (The Vale of Glamorg ",1860,1876,1845,1841,1887,401,1756,1586,1886
"","W01001115: Plymouth (The Vale of Glamorg ",1530,1231,1327,1533,1690,532,1076,1316,1406
"","W01001116: Plymouth (The Vale of Glamorg ",1775,1674,1845,837,1896,1312,1181,1269,1228
"","W01001117: Rhoose 1 ",1344,1252,1111,1225,1056,923,1210,607,1531
"","W01001118: Rhoose 2 ",1349,1254,1111,863,1243,914,1344,1392,1103
"","W01001119: Rhoose 3 ",1665,1703,1761,1880,1815,173,1535,993,1565
"","W01001120: Rhoose 4 ",1826,1672,1673,1876,1601,937,1658,712,1739
"","W01001121: St. Athan 1 ",771,774,782,636,800,920,1225,253,611
"","W01001122: St. Athan 2 ",1361,1056,1447,1678,1108,328,1330,1235,1659
"","W01001123: St. Augustine's 1 ",1503,1250,1111,1431,1743,1248,649,1472,609
"","W01001124: St. Augustine's 2 ",1328,1095,861,1078,1553,1876,825,1652,486
"","W01001125: St. Augustine's 3 ",1368,1320,1221,458,1530,1854,931,1699,733
"","W01001126: St. Augustine's 4 ",1463,1338,1327,1276,1253,1122,1223,521,743
"","W01001127: St. Bride's Major 1 ",1655,1836,1560,1294,1821,249,1478,1402,1870
"","W01001128: St. Bride's Major 2 ",1630,1610,1560,1477,1793,232,1585,1505,1741
"","W01001129: Stanwell 1 ",982,830,941,952,891,874,700,1554,579
"","W01001130: Stanwell 2 ",1868,1566,1560,1567,1884,1805,1283,1631,1282
"","W01001131: Stanwell 3 ",681,529,585,579,1026,925,362,1798,767
"","W01001132: Sully 1 ",1614,1708,1560,1458,1662,551,1576,228,1582
"","W01001133: Sully 2 ",1625,1698,1447,1767,1836,594,1407,133,1814
"","W01001134: Sully 3 ",1633,1710,1560,1382,1792,309,1500,1193,1272
"","W01001135: Wenvoe 1 ",1667,1814,1673,1576,1832,192,1443,1482,1412
"","W01001136: Wenvoe 2 ",1755,1682,1761,1732,1712,386,1276,1400,1646
"Rhondda Cynon Taf ","",".",".",".",".",".",".",".",".","."
"Rhondda Cynon Taf ","W01001137: Aberaman North 1 ",327,381,295,115,584,1148,226,1730,471
"","W01001138: Aberaman North 2 ",440,449,253,514,563,1481,259,952,666
"","W01001139: Aberaman North 3 ",587,773,522,192,675,1515,337,1382,673
"","W01001140: Aberaman South 1 ",356,304,253,477,649,653,332,1040,422
"","W01001141: Aberaman South 2 ",191,328,183,35,323,771,548,951,442
"","W01001142: Aberaman South 3 ",144,200,73,116,267,1435,476,1118,192
"","W01001143: Abercynon 1 ",873,868,782,619,651,1043,922,1339,970
"","W01001144: Abercynon 2 ",30,105,49,5,13,517,166,1853,583
"","W01001145: Abercynon 3 ",309,533,295,231,117,1102,393,1845,570
"","W01001146: Abercynon 4 ",1072,988,708,1090,952,1474,602,1416,952
"","W01001147: Aberdare East 1 ",1133,1099,782,1092,1196,702,1517,755,1212
"","W01001148: Aberdare East 2 ",672,631,456,734,820,1872,282,622,720
"","W01001149: Aberdare East 3 ",864,657,522,716,1016,1625,681,1827,1415
"","W01001150: Aberdare East 4 ",249,352,295,55,447,1845,155,873,259
"","W01001151: Aberdare West/Llwydcoed 1 ",1215,1246,941,522,1347,760,1398,1835,1585
"","W01001152: Aberdare West/Llwydcoed 2 ",786,1049,782,237,1121,373,1380,1198,1535
"","W01001153: Aberdare West/Llwydcoed 3 ",549,417,347,774,458,1671,1023,1577,523
"","W01001154: Aberdare West/Llwydcoed 4 ",535,577,295,575,614,767,823,1795,982
"","W01001155: Aberdare West/Llwydcoed 5 ",657,500,456,906,748,1569,723,512,701
"","W01001156: Aberdare West/Llwydcoed 6 ",1839,1884,1560,1757,1717,534,1853,1751,1864
"","W01001157: Beddau 1 ",1342,1259,1022,1149,962,1316,1389,683,1295
"","W01001158: Beddau 2 ",691,643,655,759,392,1063,783,1462,818
"","W01001159: Beddau 3 ",1697,1517,1560,1791,1716,560,1775,566,1657
"","W01001160: Brynna 1 ",1438,1511,1221,1152,855,670,1218,1552,1754
"","W01001161: Brynna 2 ",817,793,782,882,524,494,1113,1405,1384
"","W01001162: Church Village 1 ",292,341,253,285,246,1693,459,340,685
"","W01001163: Church Village 2 ",1795,1771,1761,1432,1655,1125,1770,319,1824
"","W01001164: Cilfynydd 1 ",734,854,708,507,535,1814,295,711,820
"","W01001165: Cilfynydd 2 ",887,923,782,1155,504,938,410,1642,717
"","W01001166: Cwm Clydach 1 ",181,218,153,390,177,608,175,1872,121
"","W01001167: Cwm Clydach 2 ",480,520,347,595,289,1315,660,1864,313
"","W01001168: Cwmbach 1 ",673,740,456,375,655,1685,517,1464,1199
"","W01001169: Cwmbach 2 ",69,160,22,39,110,1239,207,1106,674
"","W01001170: Cwmbach 3 ",1528,1588,1111,1056,1338,814,1241,1533,1691
"","W01001171: Cymmer (Rhondda Cynon Taf) 1 ",859,933,655,892,744,1056,762,427,1082
"","W01001172: Cymmer (Rhondda Cynon Taf) 2 ",831,725,456,842,910,1484,818,1557,1071
"","W01001173: Cymmer (Rhondda Cynon Taf) 3 ",86,144,59,91,50,1252,246,1479,567
"","W01001174: Cymmer (Rhondda Cynon Taf) 4 ",70,79,40,202,41,1198,329,1768,378
"","W01001175: Ferndale 1 ",698,758,456,519,741,1883,753,1280,428
"","W01001176: Ferndale 2 ",665,693,456,466,528,1472,1022,1663,759
"","W01001177: Ferndale 3 ",428,494,295,343,638,1174,992,339,309
"","W01001178: Gilfach Goch 1 ",448,575,456,222,274,711,731,1861,950
"","W01001179: Gilfach Goch 2 ",98,174,73,73,54,955,563,1817,706
"","W01001180: Glyncoch 1 ",39,70,73,65,2,1527,60,957,123
"","W01001181: Glyncoch 2 ",376,589,347,150,240,1110,615,1114,806
"","W01001182: Graig (Rhondda Cynon Taf) 1 ",609,586,782,1194,315,599,107,1196,971
"","W01001183: Graig (Rhondda Cynon Taf) 2 ",476,476,400,615,684,948,190,817,273
"","W01001184: Hawthorn 1 ",845,1004,708,956,657,1363,1191,153,493
"","W01001185: Hawthorn 2 ",358,445,400,409,146,1698,587,298,270
"","W01001186: Hirwaun 1 ",981,956,782,917,878,740,1235,734,1362
"","W01001187: Hirwaun 2 ",876,814,522,1132,824,828,1249,1170,1152
"","W01001188: Hirwaun 3 ",152,217,40,66,434,1755,451,1329,1314
"","W01001189: Llanharan 1 ",555,549,585,520,269,758,678,1773,1241
"","W01001190: Llanharan 2 ",1381,1512,1327,1665,1367,459,1489,135,1217
"","W01001191: Llanharry 1 ",1362,1314,1022,1411,1326,477,1469,937,1756
"","W01001192: Llanharry 2 ",291,225,223,441,136,1386,1096,1639,1360
"","W01001193: Llantrisant Town 1 ",1804,1626,1447,1660,1512,1563,1487,863,1662
"","W01001194: Llantrisant Town 2 ",1761,1835,1761,1835,1760,432,1812,472,1635
"","W01001195: Llantrisant Town 3 ",1108,1033,782,932,751,1298,1460,1247,1414
"","W01001196: Llantwit Fardre 1 ",1648,1449,1673,1597,1634,756,1409,282,1697
"","W01001197: Llantwit Fardre 2 ",1645,1859,1673,1566,1745,187,1879,740,1867
"","W01001198: Llantwit Fardre 3 ",1534,1695,1560,972,1432,838,1688,178,1587
"","W01001199: Llantwit Fardre 4 ",1478,1390,1447,1443,1033,1066,1548,194,1290
"","W01001200: Llwyn-y-pia 1 ",300,524,347,99,385,1442,428,530,134
"","W01001201: Llwyn-y-pia 2 ",147,229,73,131,208,1418,452,449,578
"","W01001202: Maerdy 1 ",107,183,49,220,109,1709,151,405,325
"","W01001203: Maerdy 2 ",31,68,15,25,57,785,245,1353,657
"","W01001204: Mountain Ash East 1 ",898,780,782,666,694,1249,918,1601,978
"","W01001205: Mountain Ash East 2 ",414,566,253,186,586,788,629,1374,1014
"","W01001206: Mountain Ash West 1 ",344,468,400,40,251,1817,980,1597,824
"","W01001207: Mountain Ash West 2 ",108,64,59,296,187,1196,90,1522,1413
"","W01001208: Mountain Ash West 3 ",382,422,153,472,391,1834,525,1485,700
"","W01001209: Penrhiwceiber 1 ",5,18,5,1,3,1430,106,1705,311
"","W01001210: Penrhiwceiber 2 ",205,292,120,162,112,1813,532,1831,707
"","W01001211: Penrhiwceiber 3 ",432,572,295,455,192,1358,971,1514,397
"","W01001212: Penrhiwceiber 4 ",225,353,253,61,97,1324,690,1776,761
"","W01001213: Pentre 1 ",888,823,522,1239,804,1890,639,1045,448
"","W01001214: Pentre 2 ",1601,1436,1022,1085,1560,1518,1342,1544,1452
"","W01001215: Pentre 3 ",230,294,97,201,613,1655,88,930,584
"","W01001216: Pentre 4 ",387,584,400,76,481,1381,666,768,427
"","W01001217: Pen-y-graig 1 ",247,322,183,183,191,1598,436,1293,600
"","W01001218: Pen-y-graig 2 ",457,622,347,151,545,1774,756,933,391
"","W01001219: Pen-y-graig 3 ",121,198,73,53,200,1639,544,563,312
"","W01001220: Pen-y-graig 4 ",455,482,347,399,496,1526,575,437,445
"","W01001221: Pen-y-waun 1 ",157,215,97,245,143,732,420,987,739
"","W01001222: Pen-y-waun 2 ",15,23,27,8,15,763,129,1508,1540
"","W01001223: Pont-y-clun 1 ",1747,1748,1560,1500,1783,669,1596,783,1455
"","W01001224: Pont-y-clun 2 ",1740,1883,1873,1822,1886,278,1891,376,1791
"","W01001225: Pont-y-clun 3 ",1726,1857,1761,1769,1797,241,1655,814,1820
"","W01001226: Pont-y-clun 4 ",950,762,861,807,872,1297,1162,648,985
"","W01001227: Pontypridd Town 1 ",1644,1569,1111,1288,1332,1277,1238,1632,1766
"","W01001228: Pontypridd Town 2 ",1356,1194,861,1134,1565,1507,730,866,1345
"","W01001229: Porth 1 ",835,995,456,832,903,1727,450,713,777
"","W01001230: Porth 2 ",1172,1256,861,417,1254,1376,978,1811,1311
"","W01001231: Porth 3 ",512,514,295,605,479,1394,527,1201,939
"","W01001232: Porth 4 ",307,419,120,333,439,1432,482,1145,713
"","W01001233: Rhigos ",753,898,585,677,700,296,1273,1731,1436
"","W01001234: Rhondda 1 ",795,1072,861,236,1158,673,1378,468,764
"","W01001235: Rhondda 2 ",544,525,655,518,317,1177,702,710,473
"","W01001236: Rhondda 3 ",1351,1290,1221,1143,835,1073,1104,941,1179
"","W01001237: Rhydfelen Central/Ilan 1 ",430,356,400,857,153,1371,674,1086,515
"","W01001238: Rhydfelen Central/Ilan 2 ",47,47,120,33,30,1083,115,1109,522
"","W01001239: Rhydfelen Central/Ilan 3 ",267,223,253,401,181,1175,401,961,852
"","W01001240: Taffs Well 1 ",1272,1455,1327,737,1417,460,1545,482,902
"","W01001241: Taffs Well 2 ",990,796,1022,773,839,1231,799,621,1284
"","W01001242: Talbot Green 1 ",1560,1564,1221,1398,1641,1150,1550,129,1843
"","W01001243: Talbot Green 2 ",372,376,223,282,532,1738,808,444,618
"","W01001244: Ton-teg 1 ",1569,1584,1111,1160,1239,1300,1695,614,1799
"","W01001245: Ton-teg 2 ",1768,1842,1327,1544,1643,960,1808,803,1740
"","W01001246: Ton-teg 3 ",1348,1130,941,1364,1112,1611,1067,634,1303
"","W01001247: Tonypandy 1 ",481,541,347,498,472,1647,475,762,282
"","W01001248: Tonypandy 2 ",614,704,295,599,832,1787,365,1156,697
"","W01001249: Tonyrefail East 1 ",467,746,253,356,372,1820,188,1655,623
"","W01001250: Tonyrefail East 2 ",539,838,522,335,636,191,855,1626,856
"","W01001251: Tonyrefail East 3 ",66,111,40,63,65,764,172,1832,746
"","W01001252: Tonyrefail East 4 ",1206,1499,1022,1320,1346,87,1338,1772,1772
"","W01001253: Tonyrefail West 1 ",285,542,347,138,238,614,837,409,310
"","W01001254: Tonyrefail West 2 ",841,1281,861,314,960,271,1017,1575,1238
"","W01001255: Tonyrefail West 3 ",183,316,183,152,51,1336,205,1640,585
"","W01001256: Trallwng 1 ",787,890,941,347,407,1504,1111,1453,552
"","W01001257: Trallwng 2 ",1140,1274,941,352,1421,1019,1371,996,1517
"","W01001258: Trallwng 3 ",780,887,708,644,609,1793,376,523,577
"","W01001259: Trealaw 1 ",659,666,347,907,555,1155,903,1828,631
"","W01001260: Trealaw 2 ",81,119,27,154,128,1409,286,997,267
"","W01001261: Trealaw 3 ",240,265,153,324,309,1618,230,1576,199
"","W01001262: Treforest 1 ",812,1050,1221,639,887,1078,160,163,262
"","W01001263: Treforest 2 ",711,1257,1447,795,46,1251,682,517,468
"","W01001264: Treforest 3 ",1505,1847,1895,1250,706,1355,1152,367,269
"","W01001265: Treherbert 1 ",322,446,153,106,712,1849,624,1213,525
"","W01001266: Treherbert 2 ",129,150,34,287,236,1513,333,1149,275
"","W01001267: Treherbert 3 ",174,252,73,292,292,548,693,1164,222
"","W01001268: Treherbert 4 ",464,415,400,530,307,1680,514,509,924
"","W01001269: Treorchy 1 ",1000,1008,522,1095,1155,1769,819,736,689
"","W01001270: Treorchy 2 ",620,751,456,215,970,1870,985,728,470
"","W01001271: Treorchy 3 ",369,326,153,527,547,1269,724,1423,490
"","W01001272: Treorchy 4 ",602,511,522,451,754,1287,541,1017,817
"","W01001273: Treorchy 5 ",980,785,585,1105,1137,1780,1099,839,642
"","W01001274: Tylorstown 1 ",10,11,4,52,12,1398,37,1851,344
"","W01001275: Tylorstown 2 ",237,333,183,273,131,1027,545,1621,396
"","W01001276: Tylorstown 3 ",97,170,49,130,94,1264,178,1826,398
"","W01001277: Tyn-y-nant 1 ",1527,1538,1221,1779,1186,1034,1416,193,1628
"","W01001278: Tyn-y-nant 2 ",530,469,585,623,203,1601,927,722,774
"","W01001279: Tyn-y-nant 3 ",199,239,183,392,56,1831,607,417,393
"","W01001280: Ynyshir 1 ",72,167,49,81,75,881,278,363,300
"","W01001281: Ynyshir 2 ",577,562,456,763,550,1500,680,423,304
"","W01001282: Ynysybwl 1 ",347,405,347,255,219,1081,411,1708,423
"","W01001283: Ynysybwl 2 ",840,811,861,911,598,425,804,1211,1467
"","W01001284: Ynysybwl 3 ",1692,1609,1560,1519,1354,710,1652,732,1835
"","W01001285: Ystrad 1 ",474,674,400,112,557,1384,707,1844,469
"","W01001286: Ystrad 2 ",568,568,456,648,688,1713,600,336,179
"","W01001287: Ystrad 3 ",380,447,295,157,619,1482,586,543,593
"","W01001288: Ystrad 4 ",166,282,59,137,491,1291,174,918,331
"Merthyr Tydfil ","",".",".",".",".",".",".",".",".","."
"Merthyr Tydfil ","W01001289: Bedlinog 1 ",418,734,295,452,169,470,647,1850,892
"","W01001290: Bedlinog 2 ",323,437,253,219,356,691,394,976,1039
"","W01001291: Cyfarthfa 1 ",674,670,708,775,670,275,571,1264,1283
"","W01001292: Cyfarthfa 2 ",21,73,27,29,20,827,12,1107,158
"","W01001293: Cyfarthfa 3 ",366,434,253,109,515,956,749,1428,1767
"","W01001294: Cyfarthfa 4 ",1579,1744,1111,1358,1609,463,1486,1171,1755
"","W01001295: Dowlais 1 ",137,190,153,58,179,1035,229,657,597
"","W01001296: Dowlais 2 ",729,841,585,540,797,803,471,1133,1175
"","W01001297: Dowlais 3 ",595,737,522,495,599,1113,288,549,785
"","W01001298: Dowlais 4 ",207,298,153,126,264,1677,383,419,385
"","W01001299: Gurnos 1 ",22,58,34,24,32,730,20,1090,227
"","W01001300: Gurnos 2 ",13,24,10,13,47,978,8,1403,645
"","W01001301: Gurnos 3 ",53,81,40,37,103,1581,44,1670,266
"","W01001302: Merthyr Vale 1 ",217,411,183,83,257,1093,253,707,510
"","W01001303: Merthyr Vale 2 ",17,56,15,7,36,943,170,511,392
"","W01001304: Merthyr Vale 3 ",643,805,522,309,562,1492,873,587,1034
"","W01001305: Park 1 ",1085,1227,655,964,1166,1466,280,1104,1267
"","W01001306: Park 2 ",1258,1173,782,1012,1362,1407,640,1254,1166
"","W01001307: Park 3 ",165,309,59,62,612,1520,127,1268,372
"","W01001308: Penydarren 1 ",4,5,15,3,16,450,46,1623,793
"","W01001309: Penydarren 2 ",109,204,73,59,133,681,484,772,1026
"","W01001310: Penydarren 3 ",987,1073,585,735,956,1388,842,1003,1515
"","W01001311: Penydarren 4 ",435,522,400,420,367,1273,231,508,573
"","W01001312: Plymouth (Merthyr Tydfil) 1 ",437,459,295,378,626,1087,858,664,413
"","W01001313: Plymouth (Merthyr Tydfil) 2 ",523,642,400,400,710,1855,147,644,453
"","W01001314: Plymouth (Merthyr Tydfil) 3 ",615,722,585,453,774,707,943,650,323
"","W01001315: Town 1 ",242,398,120,169,685,1867,126,242,494
"","W01001316: Town 2 ",1129,1183,861,762,1165,1070,1010,899,867
"","W01001317: Town 3 ",395,613,295,139,505,770,779,924,890
"","W01001318: Town 4 ",1047,1101,655,742,1059,1161,1038,1595,1079
"","W01001319: Treharris 1 ",1516,1563,1111,986,1461,801,1349,1371,1545
"","W01001320: Treharris 2 ",779,697,456,973,720,1037,769,1532,1369
"","W01001321: Treharris 3 ",324,395,295,178,305,1434,256,1037,714
"","W01001322: Treharris 4 ",340,685,456,31,214,1790,285,906,882
"","W01001323: Vaynor 1 ",391,578,295,307,424,247,683,1704,1129
"","W01001324: Vaynor 2 ",972,1003,655,676,1126,1000,744,1679,1078
"Caerphilly ","",".",".",".",".",".",".",".",".","."
"Caerphilly ","W01001325: Aberbargoed 1 ",169,241,97,135,123,1306,465,1190,1365
"","W01001326: Aberbargoed 2 ",151,308,120,46,171,1619,211,584,716
"","W01001327: Abercarn 1 ",1009,1070,861,699,1043,1126,670,737,789
"","W01001328: Abercarn 2 ",641,595,522,929,393,1057,701,688,1163
"","W01001329: Abercarn 3 ",705,733,585,578,616,1360,760,547,1020
"","W01001330: Aber Valley 1 ",608,527,585,508,379,1172,932,1555,1032
"","W01001331: Aber Valley 2 ",406,409,400,190,332,1483,501,1580,605
"","W01001332: Aber Valley 3 ",281,274,183,336,287,1186,521,1574,599
"","W01001333: Aber Valley 4 ",343,231,253,789,217,1089,399,1685,934
"","W01001334: Argoed (Caerphilly) 1 ",188,164,153,136,157,1350,341,1836,1639
"","W01001335: Argoed (Caerphilly) 2 ",565,650,456,909,656,224,242,1608,1220
"","W01001336: Bargoed 1 ",453,488,183,611,531,1401,528,1049,945
"","W01001337: Bargoed 2 ",744,648,522,706,811,1892,441,574,1325
"","W01001338: Bargoed 3 ",411,477,295,209,427,1875,258,1205,839
"","W01001339: Bargoed 4 ",18,26,5,10,121,941,73,1373,823
"","W01001340: Bedwas, Trethomas and Machen ",1603,1613,1327,1286,1450,536,1485,1282,1652
"","W01001341: Bedwas, Trethomas and Machen ",208,207,153,82,249,1712,926,1158,1005
